Date,Temperature (Celsius),Humidity (%),Precipitation (mm)
2018-01-01,-3.0454512141269467,25.0,14.346340449884295
2018-01-02,4.98346776352288,50.73313984049469,27.050607154587603
2018-01-03,0.8014344290280799,25.0,18.583728467727244
2018-01-04,2.0313936267711994,33.203714802431726,16.564712768879765
2018-01-05,8.502786792153268,25.0,12.84812435231173
2018-01-06,3.5715721259131943,30.90958400674071,12.847981459573024
2018-01-07,3.895745942564025,27.89286465546047,12.299193843043401
2018-01-08,6.738585222595408,25.0,22.056154322399696
2018-01-09,-0.27703406304516487,26.353339629971394,16.595410768136322
2018-01-10,-2.4767523619461027,25.0,18.15625030852295
2018-01-11,-3.333310973761183,30.685637251629757,12.103996539995691
2018-01-12,-7.769748997931313,27.931912122074234,29.517787375791556
2018-01-13,12.5142157921355,31.635579680031935,20.932147716773372
2018-01-14,-3.111880930621361,36.1302749665239,13.193438126244732
2018-01-15,1.4686954311227551,29.52684479746557,13.003394943748315
2018-01-16,1.3615089428206923,27.634513891028206,13.013057114161283
2018-01-17,4.453017427442997,25.0,13.813768647302384
2018-01-18,7.164862475982107,25.0,15.719639154304271
2018-01-19,7.558507700569062,38.938172532156884,14.827685333901682
2018-01-20,0.5104756907848595,41.74260268303999,13.721114962769706
2018-01-21,2.759723145579185,25.307871934862213,16.73185436949899
2018-01-22,5.177433949306382,28.460013873750587,12.751172643636691
2018-01-23,2.6900021649537904,25.0,13.72757756001201
2018-01-24,12.138817877472349,40.35333010004959,14.281386091104233
2018-01-25,6.725293066987177,35.594648668678865,15.044673439298872
2018-01-26,8.112819190332397,48.66856329837882,19.689680055154557
2018-01-27,7.920519747949308,25.0,13.11367931064345
2018-01-28,10.640824607545627,26.111602401659237,15.610145775165638
2018-01-29,5.845551403137247,32.5254775096288,16.487523606548802
2018-01-30,-1.3770938374554929,36.996346148067005,12.23781924878204
2018-01-31,7.271749613323353,28.696278737468816,16.676665103248048
2018-02-01,2.182378681722965,25.0,20.255314335575854
2018-02-02,2.9615300952355383,40.31315930547118,19.656827730085293
2018-02-03,8.701468751387646,39.03501433647461,34.18894704322342
2018-02-04,12.125671742637984,25.0,36.17365978799464
